season,week,home,away,actual_home,actual_away,home_offense,away_offense,home_defense,away_defense,home_special,away_special,home_flag
2023,1,MERCER,N ALABAMA,17.0,7.0,1.4789670897378733,-0.6457444724818812,2.564458654693473,-1.1189681178606548,0.5916046328744263,-0.1921962410771992,1.0
2023,1,JACKSON ST,BUTLER,17.0,14.0,0.9681529251291328,0.28277155959235856,0.4627948863937006,-0.23466064433337774,0.10685665570152988,0.699152647408355,1.0
2023,1,NWSTATE,SACR HEART,30.0,41.0,-1.7632187582584513,-0.1841539871107572,-2.1301260934834834,-0.630058982748841,-0.9123851148968865,-0.4439875207026893,1.0
2023,1,ALBANY,FORDHAM,34.0,13.0,-1.5925942766844354,-1.409943388738597,-0.6282830864444137,-1.7452441756687065,-1.2088592854042421,-0.4538081616993365,1.0
2023,1,JACKSON ST,SCAR STATE,37.0,7.0,0.9681529251291328,-0.5007707775647916,0.4627948863937006,1.0410431363432906,0.10685665570152988,-1.0021084387500485,1.0
2023,1,MOREHEAD,TENN STATE,37.0,35.0,-0.16820751980419305,-1.4442904903627436,-1.299109476545776,-0.03971098180967482,0.39727252721931844,0.6528000148453635,1.0
2023,1,NEWHVN,SCAR STATE,24.0,27.0,-0.36615077993256767,-0.5007707775647916,-0.4688683734060913,1.0410431363432906,-1.1719884538940857,-1.0021084387500485,1.0
2023,1,TXAMCO,UC DAVIS,10.0,48.0,-0.4286415084459451,0.8777380953265025,0.20658717180394476,-0.06132401188045214,-0.6691546524921859,0.1416858222433498,1.0
2023,1,TENN STATE,CORNELL,38.0,7.0,-1.4442904903627436,-0.3070007124130536,-0.03971098180967482,0.48113814300184216,0.6528000148453635,-0.46247476032879853,1.0
2023,1,LAMAR,IDAHO,17.0,42.0,-0.5685977383800719,-0.012586772367224485,0.8641601660291799,0.22671534332959986,0.9789964031143442,0.18618864383885633,1.0
2023,1,RHODE ISLD,ILL STATE,9.0,44.0,0.6732123124284503,0.8922281869555811,2.1347830089344435,-0.36962383709767366,-0.3302036795509158,0.04466637227059255,1.0
2023,1,BROWN,STETSON,17.0,20.0,-0.09485483212308499,-0.5812056460431352,0.2891155313717725,-1.445508920788252,-0.22434622235759924,-0.24871685764792445,1.0
2023,1,TOWSON,HOWARD,41.0,0.0,-0.25433096475029127,-0.882250331140757,-0.3679689106324213,0.7026267485189971,0.27624048351589137,-0.3151406179248811,1.0
2023,1,NWSTATE,ILL STATE,30.0,7.0,-1.7632187582584513,0.8922281869555811,-2.1301260934834834,-0.36962383709767366,-0.9123851148968865,0.04466637227059255,1.0
2023,1,ILL STATE,TENN STATE,34.0,24.0,0.8922281869555811,-1.4442904903627436,-0.36962383709767366,-0.03971098180967482,0.04466637227059255,0.6528000148453635,1.0
2023,1,STNY BROOK,ILL STATE,19.0,17.0,0.10388124227043377,0.8922281869555811,0.8538182692920716,-0.36962383709767366,-0.05450509434024716,0.04466637227059255,1.0
2023,1,ILL STATE,TENN STATE,49.0,13.0,0.8922281869555811,-1.4442904903627436,-0.36962383709767366,-0.03971098180967482,0.04466637227059255,0.6528000148453635,1.0
2023,1,TENN STATE,TENN STATE,0.0,56.0,-1.4442904903627436,-1.4442904903627436,-0.03971098180967482,-0.03971098180967482,0.6528000148453635,0.6528000148453635,1.0
2023,1,SO UTAH,TENN MARTN,47.0,10.0,0.7908656312558227,-0.29546173045640295,-0.8684800465531397,-0.5953464526033412,-0.012900163373060047,0.5748789269143199,1.0
