captured_at,game_id,home_team,away_team,commence_time,bookmaker,market,point_home,point_away,price_home,price_away,price_draw,last_update,source
2025-11-07T22:10:17Z,401756946,UCF,Houston,2025-11-08 01:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756946,UCF,Houston,2025-11-08 01:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756946,UCF,Houston,2025-11-08 01:00:00+00:00,Fanatics,moneyline,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762501,Memphis,Tulane,2025-11-08 02:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762501,Memphis,Tulane,2025-11-08 02:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762501,Memphis,Tulane,2025-11-08 02:00:00+00:00,Fanatics,moneyline,,,-170.0,140.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752896,USC,Northwestern,2025-11-08 02:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752896,USC,Northwestern,2025-11-08 02:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752896,USC,Northwestern,2025-11-08 02:00:00+00:00,Fanatics,moneyline,,,-650.0,460.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761647,Arkansas State,Southern Miss,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761647,Arkansas State,Southern Miss,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761647,Arkansas State,Southern Miss,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,160.0,-195.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762503,Army,Temple,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762503,Army,Temple,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762503,Army,Temple,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,-260.0,210.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756945,Texas Tech,BYU,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756945,Texas Tech,BYU,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756945,Texas Tech,BYU,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,-400.0,305.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754584,Boston College,SMU,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754584,Boston College,SMU,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754584,Boston College,SMU,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,325.0,-425.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756947,West Virginia,Colorado,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756947,West Virginia,Colorado,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756947,West Virginia,Colorado,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,-220.0,180.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752762,Mississippi State,Georgia,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752762,Mississippi State,Georgia,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752762,Mississippi State,Georgia,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,265.0,-340.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752893,Penn State,Indiana,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-115.0,-105.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752893,Penn State,Indiana,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752893,Penn State,Indiana,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,460.0,-650.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761646,Marshall,James Madison,2025-11-08 17:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761646,Marshall,James Madison,2025-11-08 17:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761646,Marshall,James Madison,2025-11-08 17:00:00+00:00,Fanatics,moneyline,,,390.0,-525.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762855,Eastern Michigan,Bowling Green,2025-11-08 18:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762855,Eastern Michigan,Bowling Green,2025-11-08 18:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762855,Eastern Michigan,Bowling Green,2025-11-08 18:00:00+00:00,Fanatics,moneyline,,,-130.0,110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757299,Liberty,Missouri State,2025-11-08 18:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757299,Liberty,Missouri State,2025-11-08 18:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757299,Liberty,Missouri State,2025-11-08 18:00:00+00:00,Fanatics,moneyline,,,-310.0,245.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752897,Purdue,Ohio State,2025-11-08 18:00:00+00:00,Rebet,spread,,,-111.0,-116.0,,2025-11-07 22:09:58+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752897,Purdue,Ohio State,2025-11-08 18:00:00+00:00,Rebet,total,,,,,,2025-11-07 22:09:58+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752897,Purdue,Ohio State,2025-11-08 18:00:00+00:00,Rebet,moneyline,,,1575.0,-10000.0,,2025-11-07 22:09:58+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762502,Rice,UAB,2025-11-08 19:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762502,Rice,UAB,2025-11-08 19:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762502,Rice,UAB,2025-11-08 19:00:00+00:00,Fanatics,moneyline,,,-120.0,100.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752894,Rutgers,Maryland,2025-11-08 19:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752894,Rutgers,Maryland,2025-11-08 19:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
