season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under,open_price_draw,close_price_draw
2025,1,regular,fbs,401756846,Kansas State,Iowa State,2025-08-23T16:00:00+00:00,fanduel,spread,2025-08-23T04:00:39+00:00,2025-08-23T17:55:39+00:00,-3.5,-104.0,-118.0,-2.5,-132.0,100.0,,,,,,
2025,1,regular,fbs,401756846,Kansas State,Iowa State,2025-08-23T16:00:00+00:00,fanduel,total,2025-08-23T04:00:39+00:00,2025-08-23T17:55:39+00:00,50.5,,,35.5,,,-115.0,-105.0,-128.0,-104.0,,
2025,1,regular,fbs,401756846,Kansas State,Iowa State,2025-08-23T16:00:00+00:00,fanduel,moneyline,2025-08-23T04:00:39+00:00,2025-08-23T17:55:39+00:00,,-160.0,132.0,,-154.0,120.0,,,,,,
2025,1,regular,fbs,401760371,UNLV,Idaho State,2025-08-23T20:00:00+00:00,fanduel,spread,2025-08-23T08:00:40+00:00,2025-08-23T21:55:39+00:00,-30.5,-108.0,-112.0,-10.5,-132.0,100.0,,,,,,
2025,1,regular,fbs,401760371,UNLV,Idaho State,2025-08-23T20:00:00+00:00,fanduel,total,2025-08-23T08:00:40+00:00,2025-08-23T21:55:39+00:00,65.5,,,62.5,,,-112.0,-108.0,-114.0,-114.0,,
2025,1,regular,fbs,401760371,UNLV,Idaho State,2025-08-23T20:00:00+00:00,fanduel,moneyline,2025-08-23T08:00:40+00:00,2025-08-23T21:55:39+00:00,,-7000.0,2000.0,,-1100.0,600.0,,,,,,
2025,1,regular,fbs,401756847,Kansas,Fresno State,2025-08-23T22:30:00+00:00,fanduel,spread,2025-08-23T10:30:39+00:00,2025-08-24T00:25:39+00:00,-13.5,-115.0,-105.0,-23.5,-114.0,-114.0,,,,,,
2025,1,regular,fbs,401756847,Kansas,Fresno State,2025-08-23T22:30:00+00:00,fanduel,total,2025-08-23T10:30:39+00:00,2025-08-24T00:25:39+00:00,49.5,,,54.5,,,-118.0,-104.0,-130.0,-102.0,,
2025,1,regular,fbs,401756847,Kansas,Fresno State,2025-08-23T22:30:00+00:00,fanduel,moneyline,2025-08-23T10:30:39+00:00,2025-08-24T00:25:39+00:00,,-550.0,400.0,,-50000.0,3000.0,,,,,,
2025,1,regular,fbs,401757218,Western Kentucky,Sam Houston,2025-08-23T23:00:00+00:00,fanduel,spread,2025-08-23T11:00:39+00:00,2025-08-24T00:55:39+00:00,-10.5,-105.0,-115.0,-13.5,-106.0,-125.0,,,,,,
2025,1,regular,fbs,401757218,Western Kentucky,Sam Houston,2025-08-23T23:00:00+00:00,fanduel,total,2025-08-23T11:00:39+00:00,2025-08-24T00:55:39+00:00,61.5,,,57.5,,,-106.0,-114.0,-122.0,-108.0,,
2025,1,regular,fbs,401757218,Western Kentucky,Sam Houston,2025-08-23T23:00:00+00:00,fanduel,moneyline,2025-08-23T11:00:39+00:00,2025-08-24T00:55:39+00:00,,-375.0,290.0,,-1600.0,750.0,,,,,,
2025,1,regular,fbs,401762522,South Florida,Boise State,2025-08-28T21:30:00+00:00,fanduel,spread,2025-08-28T09:30:39+00:00,2025-08-28T23:25:39+00:00,5.5,-108.0,-112.0,-1.5,-106.0,-125.0,,,,,,
2025,1,regular,fbs,401762522,South Florida,Boise State,2025-08-28T21:30:00+00:00,fanduel,total,2025-08-28T09:30:39+00:00,2025-08-28T23:25:39+00:00,62.5,,,43.5,,,-105.0,-115.0,-132.0,100.0,,
2025,1,regular,fbs,401762522,South Florida,Boise State,2025-08-28T21:30:00+00:00,fanduel,moneyline,2025-08-28T09:30:39+00:00,2025-08-28T23:25:39+00:00,,172.0,-210.0,,-113.0,-113.0,,,,,,
2025,1,regular,fbs,401762790,Bowling Green,Lafayette,2025-08-28T22:00:00+00:00,fanduel,spread,2025-08-28T10:00:39+00:00,2025-08-28T23:55:39+00:00,-16.5,-114.0,-106.0,-21.5,-114.0,-114.0,,,,,,
2025,1,regular,fbs,401762790,Bowling Green,Lafayette,2025-08-28T22:00:00+00:00,fanduel,total,2025-08-28T10:00:39+00:00,2025-08-28T23:55:39+00:00,51.5,,,38.5,,,-115.0,-105.0,-110.0,-118.0,,
2025,1,regular,fbs,401762790,Bowling Green,Lafayette,2025-08-28T22:00:00+00:00,fanduel,moneyline,2025-08-28T10:00:39+00:00,2025-08-28T23:55:39+00:00,,-780.0,530.0,,-10000.0,1600.0,,,,,,
2025,1,regular,fbs,401762789,Akron,Wyoming,2025-08-28T23:00:00+00:00,fanduel,spread,2025-08-28T11:00:39+00:00,2025-08-29T00:55:39+00:00,5.5,-110.0,-110.0,3.5,-118.0,-110.0,,,,,,
2025,1,regular,fbs,401762789,Akron,Wyoming,2025-08-28T23:00:00+00:00,fanduel,total,2025-08-28T11:00:39+00:00,2025-08-29T00:55:39+00:00,48.5,,,23.5,,,-105.0,-115.0,-113.0,-115.0,,
2025,1,regular,fbs,401762789,Akron,Wyoming,2025-08-28T23:00:00+00:00,fanduel,moneyline,2025-08-28T11:00:39+00:00,2025-08-29T00:55:39+00:00,,176.0,-215.0,,188.0,-255.0,,,,,,
2025,1,regular,fbs,401754373,NC State,East Carolina,2025-08-28T23:00:00+00:00,fanduel,spread,2025-08-28T11:00:39+00:00,2025-08-29T00:55:39+00:00,-13.5,-120.0,-102.0,-15.5,-136.0,102.0,,,,,,
