season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under,open_price_draw,close_price_draw
2025,3,regular,fbs,401752836,Indiana,Indiana State,2025-09-12T22:30:00+00:00,fanduel,spread,2025-09-12T10:30:39+00:00,2025-09-13T00:25:39+00:00,-47.5,-115.0,-105.0,-62.5,-102.0,-130.0,,,,,,
2025,3,regular,fbs,401752836,Indiana,Indiana State,2025-09-12T22:30:00+00:00,fanduel,total,2025-09-12T10:30:39+00:00,2025-09-13T00:25:39+00:00,59.5,,,68.5,,,-110.0,-110.0,-114.0,-118.0,,
2025,3,regular,fbs,401754532,Syracuse,Colgate,2025-09-12T23:00:00+00:00,fanduel,spread,2025-09-12T11:00:40+00:00,2025-09-13T00:55:39+00:00,-37.5,-110.0,-110.0,-49.5,-102.0,-130.0,,,,,,
2025,3,regular,fbs,401754532,Syracuse,Colgate,2025-09-12T23:00:00+00:00,fanduel,total,2025-09-12T11:00:40+00:00,2025-09-13T00:55:39+00:00,66.5,,,68.5,,,-110.0,-110.0,-130.0,-102.0,,
2025,3,regular,fbs,401752838,Maryland,Towson,2025-09-13T16:00:00+00:00,fanduel,spread,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,-29.5,-110.0,-110.0,-29.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401752838,Maryland,Towson,2025-09-13T16:00:00+00:00,fanduel,total,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,50.5,,,50.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401752838,Maryland,Towson,2025-09-13T16:00:00+00:00,fanduel,moneyline,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,,-10000.0,2500.0,,-10000.0,2500.0,,,,,,
2025,3,regular,fbs,401754619,Virginia,William & Mary,2025-09-13T16:00:00+00:00,fanduel,spread,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,-26.5,-110.0,-110.0,-26.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401754619,Virginia,William & Mary,2025-09-13T16:00:00+00:00,fanduel,total,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,51.5,,,51.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401754619,Virginia,William & Mary,2025-09-13T16:00:00+00:00,fanduel,moneyline,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,,-4500.0,1600.0,,-4500.0,1600.0,,,,,,
