player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kewan Lacy,190221,HB,OLE MISS,9,190,65,13,38.8,335,0,863,3,6,65,632,111.9,22,60,226,1,85,90.9,80.7,87.2,,75.8,53.5,84.3,58.0,54,0,121,21,186,278,0,0,25,211,13,863,632,3.33,4.5,0.65,104
Cam Cook,173133,HB,JVILLE ST,8,180,67,15,40.3,425,0,1054,1,7,67,747,154.3,34,57,196,2,35,74.7,87.6,86.4,,79.3,64.7,89.6,60.5,73,0,193,19,170,294,0,0,26,199,11,1054,747,4.15,5.9,1.14,144
Anthony Hankerson,157691,HB,OREGON ST,9,178,47,11,34.3,276,0,804,2,4,47,543,82.8,21,49,265,1,65,83.2,72.4,86.5,,81.0,43.5,76.0,54.7,65,1,45,10,182,218,0,0,19,188,7,804,543,3.05,4.5,0.25,113
Emmett Johnson,156473,HB,NEBRASKA,9,175,53,10,25.6,257,0,1002,1,11,53,535,94.1,28,56,238,1,61,83.0,82.8,52.0,,47.0,63.5,86.9,79.8,50,1,197,33,232,194,0,0,39,208,10,1002,535,3.06,5.7,0.85,111
Cale Hellums,170981,QB,ARMY,8,173,25,3,12.3,87,0,562,0,0,20,301,27.1,15,60,114,4,60,71.4,76.7,84.4,67.6,,55.9,71.9,60.0,50,0,0,0,1,271,147,24,0,149,11,709,344,1.99,4.1,0.0,50
Jordan Gant,159654,HB,AKRON,10,168,28,13,31.5,267,0,847,0,1,28,563,55.5,26,42,102,1,18,81.8,75.3,85.2,,40.3,53.6,79.5,52.7,36,0,34,7,146,203,0,0,13,175,5,847,563,3.35,5.0,0.23,150
Al-Jay Henderson,145676,HB,BUFFALO,9,161,30,6,24.6,162,2,659,3,6,30,446,53.6,12,41,126,3,35,72.1,65.6,48.1,,42.9,59.1,68.3,56.0,41,2,181,25,169,200,0,0,30,186,5,659,446,2.77,4.1,1.07,126
Kentrel Bullock,124129,HB,S ALABAMA,9,160,39,2,6.0,44,0,729,1,2,39,479,72.2,16,43,288,1,104,81.2,84.8,83.3,,64.7,55.4,84.3,77.4,24,0,66,10,93,194,0,0,15,170,8,729,479,2.99,4.6,0.71,53
Ahmad Hardy,190013,HB,MISSOURI,8,160,61,15,42.2,396,0,938,0,3,61,722,175.0,25,51,229,2,61,70.7,89.8,86.9,,73.9,56.0,89.5,53.3,71,0,17,5,87,182,0,0,5,165,11,938,722,4.51,5.9,0.2,99
Antwan Raymond,190489,HB,RUTGERS,9,159,44,9,29.6,224,0,757,1,6,44,580,104.8,20,52,278,2,42,71.2,80.8,84.8,,83.3,66.9,79.8,60.2,51,0,163,15,145,180,0,0,19,174,10,757,580,3.65,4.8,1.12,117
Sieh Bangura,145886,HB,OHIO,9,157,45,13,37.3,310,0,831,1,1,45,592,103.9,24,49,259,0,104,90.3,79.5,48.8,,40.6,55.4,84.5,55.2,49,1,75,10,153,203,0,0,14,167,10,831,592,3.77,5.3,0.49,53
