team,plays_mean,pass_rate,plays_var,pass_rate_var,pass_attempts_mean,rush_attempts_mean,sack_rate,throwaway_rate,scramble_rate,pass_k,rush_k,win_prob_q4,favored
AIR FORCE,67.0,0.23623715063483336,150.28571428571428,0.0038383428631480004,15.875,50.125,0.0,0.0,0.0,23.28857260726073,46.28318256578947,0.5781246504149937,True
AKRON,66.44444444444444,0.48690010711346826,40.52777777777778,0.0045142569777863,32.44444444444444,31.444444444444446,,,,971.6695156695134,inf,0.1478078427567604,False
ALABAMA,67.375,0.5205960545374201,65.98214285714286,0.0067879363821259,34.875,30.75,,,,inf,41.303822152886106,0.2019766488876337,False
APP STATE,72.0,0.5532175485369795,154.0,0.0078811672145919,40.125,29.875,,,,23.47939453125,48.15113198458574,0.385551412446861,False
ARIZONA,66.625,0.4919137600167236,93.98214285714286,0.0107181331367277,33.375,31.125,0.04,0.0,0.0,13.30018656716418,251.1614583333335,0.3636144045112738,False
ARKANSAS STATE,73.22222222222223,0.5233180027734022,40.94444444444444,0.005771979726519,38.333333333333336,32.55555555555556,0.0,0.0,0.0,352.6666666666669,51.1462615430444,0.5697663465951107,True
ARMY,68.625,0.1454461688096673,68.83928571428571,0.001772827317147,10.0,58.375,0.0,0.0,0.0,inf,inf,0.2097895871229278,False
AUBURN,66.77777777777777,0.42389816955934895,15.944444444444445,0.0106155405267575,28.11111111111111,34.888888888888886,0.1794871794871795,0.0,0.0,79.02345679012342,19.96375601113642,0.6634999547618161,True
BALL STATE,57.875,0.3664043914385657,100.41071428571428,0.0047817859040572,21.375,33.375,,,,24.183246691871453,56.3995253164557,0.3608679966409563,False
BOSTON COLLEGE,70.22222222222223,0.5554980834000871,116.44444444444444,0.0078731545039264,38.77777777777778,28.66666666666667,0.12,0.0,0.0,81.64974023797555,27.316712834718384,0.9014118902362572,True
BOWLING GREEN,63.0,0.4067605153271921,77.5,0.0053744402964475,25.77777777777778,34.888888888888886,0.1764705882352941,0.0,0.0,39.86962962962962,1252.01269841269,0.48074423513750303,False
BYU,66.875,0.4037713355204852,39.839285714285715,0.006683605754987599,26.875,39.0,,,,6741.145833333301,81.27480916030534,0.7593379686344222,True
CALIFORNIA,68.22222222222223,0.5547319501425292,80.19444444444444,0.0021679065705153,37.77777777777778,28.11111111111111,0.0857142857142857,0.0,0.0,inf,34.35802469135803,0.9465517138288164,True
CHARLOTTE,62.0,0.49834169677505696,89.14285714285714,0.006961657484012801,31.375,28.875,,,,20.251974650991915,inf,0.9786214222373391,True
CLEMSON,66.625,0.5436542901754633,78.26785714285714,0.0149055739123653,36.625,28.75,0.0285714285714285,0.0,0.0,13.347170398009949,22.57926829268293,0.4764020104750294,False
COASTAL CAROLINA,63.0,0.423425583333909,27.14285714285714,0.0160787964290082,26.5,35.125,0.0,0.0,0.0,23.132941176470588,18.18180921052631,0.1805270189357317,False
COLORADO,62.555555555555564,0.45576749658513305,41.02777777777778,0.0068663038427175,28.555555555555554,31.33333333333333,0.0555555555555555,0.0,0.0,219.0679933665009,124.01403508771928,0.47347203227786955,False
COLORADO STATE,63.0,0.46259815657534825,43.42857142857143,0.0065975551535411,29.25,31.25,,,,101.93936170212764,276.19949494949503,0.651780800965438,True
DELAWARE,71.5,0.5800763956320102,36.857142857142854,0.0072218937984237,41.5,28.125,0.0392156862745098,0.0,0.0,196.02845528455285,89.30821572580649,0.7642614530148057,True
DUKE,65.75,0.5584300237570269,32.5,0.0103297065197178,36.875,27.25,0.0454545454545454,0.0,0.0,38.26476130653266,64.37074303405574,0.1871396093741426,False
EAST CAROLINA,78.125,0.448261618937491,52.69642857142857,0.0115389477848951,35.125,42.0,0.0,0.0,0.0,26.904546339563858,49.392,0.0213785777626609,False
EASTERN MICHIGAN,66.77777777777777,0.512429730204308,103.19444444444446,0.0072278384320059,33.888888888888886,31.88888888888889,,,,219.91725768321484,15.183925526521959,0.519255764862497,True
FLORIDA,63.125,0.5112289163687189,74.98214285714286,0.0078148723294372,32.5,29.0,0.0,0.0,0.0,27.74390243902439,69.25882352941174,0.378005620118598,False
FLORIDA ATLANTIC,74.75,0.5975622030188594,203.3571428571429,0.0088083754497438,45.75,27.375,,,,13.753989673785494,inf,0.3245904705140286,False
FLORIDA INTERNATIONAL,69.0,0.480476414236673,19.428571428571427,0.0013671134245222,33.25,34.0,0.027027027027027,0.0,0.0,inf,inf,0.4641463531243783,False
