season,date,week,season_type,home_team,away_team,actual_home_points,actual_away_points,actual_margin,actual_total,pred_home_points,pred_away_points,pred_spread,pred_total,pred_home_win_prob,spread_error,total_error,brier
2024,2024-08-24T16:00:00.000Z,1,regular,W GEORGIA,ILL STATE,24.0,21.0,3.0,45.0,31.80884509952245,25.214033257588845,6.594811841933604,57.022878357111296,0.6598946913439018,3.5948118419336037,12.022878357111296,0.11567162097605985
2024,2024-08-24T19:30:00.000Z,1,regular,TENN STATE,MCNEESE,26.0,23.0,3.0,49.0,28.37605834044158,20.117987628361227,8.25807071208035,48.49404596880281,0.69711798915752,5.25807071208035,-0.5059540311971915,0.09173751249198418
2024,2024-08-24T20:00:00.000Z,1,regular,NEW HAMP,MONTANA ST,31.0,35.0,-4.0,66.0,22.579258115146818,31.138985015518582,-8.559726900371764,53.7182431306654,0.29633083011237493,-4.559726900371764,-12.2817568693346,0.08781196087508922
2024,2024-08-24T23:00:00.000Z,1,regular,SCAR STATE,N ALABAMA,37.0,15.0,22.0,52.0,30.33001890974179,19.12735447537296,11.202664434368831,49.45737338511475,0.7580883435030743,-10.797335565631169,-2.5426266148852505,0.05852124954908657
2024,2024-08-24T23:30:00.000Z,1,regular,NORFOLK,FL A&M,23.0,24.0,-1.0,47.0,29.260262744557277,30.10603029404393,-0.8457675494866495,59.366293038601206,0.47892153961928585,0.15423245051335055,12.366293038601206,0.2293658411113072
2024,2024-08-29T04:00:00.000Z,1,regular,SCAR STATE,TEXAS STHN,21.0,42.0,-21.0,63.0,23.210209042397572,18.891196865036136,4.3190121773614365,42.10140590743371,0.6063961243447993,25.319012177361436,-20.89859409256629,0.3677162596203933
2024,2024-08-29T22:00:00.000Z,1,regular,BUTLER,HOWARD,44.0,7.0,37.0,51.0,26.616721641457808,23.227586153389254,3.3891354880685522,49.84430779484706,0.5838766452088116,-33.610864511931446,-1.1556922051529384,0.1731586464026733
2024,2024-08-29T22:00:00.000Z,1,regular,TENN MARTN,SO UTAH,7.0,35.0,-28.0,42.0,30.885412124038925,30.31867700636632,0.5667351176726099,61.204089130405244,0.5141279581943913,28.56673511767261,19.204089130405244,0.26432755739713376
2024,2024-08-29T22:00:00.000Z,1,regular,MOREHEAD,TENN STATE,17.0,10.0,7.0,27.0,31.62011028061481,20.293269680928134,11.32684059968668,51.913379961542944,0.7605048710516463,4.32684059968668,24.913379961542944,0.057357916789988556
2024,2024-08-29T22:00:00.000Z,1,regular,VILLANOVA,YNGTOWN ST,24.0,17.0,7.0,41.0,32.58119222296874,26.916179762417357,5.665012460551382,59.497371985386096,0.6383542694604621,-1.3349875394486181,18.497371985386096,0.130787634417476
2024,2024-08-29T23:00:00.000Z,1,regular,MERCER,PRESBYTERN,63.0,10.0,53.0,73.0,34.330490433985645,16.419049665366984,17.911440768618668,50.74954009935263,0.868529103052052,-35.08855923138133,-22.25045990064737,0.017284596744297963
2024,2024-08-29T23:00:00.000Z,1,regular,DELWARE ST,BRYANT,48.0,17.0,31.0,65.0,30.626318043454816,22.216803847243355,8.409514196211461,52.84312189069817,0.7004150582214188,-22.59048580378854,-12.156878109301829,0.08975113734047588
2024,2024-08-29T23:00:00.000Z,1,regular,WM & MARY,MAINE,41.0,7.0,34.0,48.0,31.386258809677805,18.88011186197246,12.506146947705343,50.266370671650265,0.7827852044456713,-21.493853052294657,2.2663706716502645,0.0471822674077088
2024,2024-08-29T23:00:00.000Z,1,regular,GARD-WEBB,WOFFORD,20.0,21.0,-1.0,41.0,30.089447354017672,23.378854129985335,6.710593224032333,53.46830148400301,0.6625425001403236,7.710593224032333,12.468301484003007,0.4389625644921907
2024,2024-08-29T23:00:00.000Z,1,regular,SCAR STATE,STETSON,56.0,24.0,32.0,80.0,36.21918274023735,14.652146526166717,21.567036214070633,50.87132926640407,0.9111611212538463,-10.432963785929367,-29.128670733595932,0.007892346376873801
2024,2024-08-29T23:00:00.000Z,1,regular,WEBER ST,E WASHGTON,21.0,41.0,-20.0,62.0,27.437215243091096,24.041600167001135,3.3956150760899586,51.47881541009223,0.5840346156565098,23.39561507608996,-10.521184589907769,0.34109643228504716
2024,2024-08-29T23:00:00.000Z,1,regular,ILL STATE,TENN TECH,19.0,13.0,6.0,32.0,35.174011636568416,21.600254541214554,13.573757095353862,56.77426617778297,0.8018811934261452,7.573757095353862,24.77426617778297,0.0392510615182485
2024,2024-08-29T23:00:00.000Z,1,regular,DELWARE ST,NC A&T,45.0,13.0,32.0,58.0,33.810634192528035,23.603197944777456,10.207436247750575,57.41383213730549,0.7382516917683947,-21.792563752249425,-0.5861678626945093,0.06851217686210748
2024,2024-08-29T23:00:00.000Z,1,regular,NWSTATE,W CAROLINA,38.0,21.0,17.0,59.0,29.248938522961673,24.300627680252028,4.948310842709647,53.5495662032137,0.6214417075344225,-12.051689157290353,-5.4504337967862995,0.1433063807944537
2024,2024-08-29T23:00:00.000Z,1,regular,MARIST,ILL STATE,16.0,47.0,-31.0,63.0,25.075718576425835,26.14814384060113,-1.0724252641752914,51.223862417026965,0.4732802718919542,29.92757473582471,-11.776137582973035,0.2239942157621221
2024,2024-08-29T23:00:00.000Z,1,regular,TENN STATE,SOUTHERN U,31.0,33.0,-2.0,64.0,31.499394415692603,18.94498734319112,12.554407072501485,50.44438175888372,0.7836707266937208,14.554407072501485,-13.555618241116278,0.6141398078766646
2024,2024-08-29T23:00:00.000Z,1,regular,VALPO,LAFAYETTE,30.0,13.0,17.0,43.0,31.090374430982536,20.569174183428913,10.521200247553619,51.65954861441145,0.7445943733377919,-6.478799752446381,8.659548614411449,0.06523203413071524
2024,2024-08-29T23:00:00.000Z,1,regular,ILL STATE,ILL STATE,38.0,7.0,31.0,45.0,35.79794848459313,28.284135145517475,7.513813339075651,64.0820836301106,0.6806843516714504,-23.48618666092435,19.082083630110603,0.10196248326748199
2024,2024-08-29T23:00:00.000Z,1,regular,TENN STATE,MURRAY ST,49.0,17.0,32.0,66.0,31.119939597117753,26.47371244576234,4.646227151355411,57.593652042880095,0.6142407463019214,-27.35377284864459,-8.406347957119905,0.14881020181369858
2024,2024-08-29T23:00:00.000Z,1,regular,ELON,MERCYHURST,25.0,28.0,-3.0,53.0,28.35363917419342,20.244581960305236,8.109057213888187,48.59822113449866,0.6938580622182973,11.109057213888187,-4.401778865501342,0.4814390105053305
2024,2024-08-29T23:00:00.000Z,1,regular,CENT ARK,CENT CT ST,66.0,10.0,56.0,76.0,31.670588842329067,21.749273155809497,9.921315686519572,53.419861998138565,0.7323981747722004,-46.07868431348043,-22.580138001861435,0.07161073686524981
2024,2024-08-29T23:30:00.000Z,1,regular,TARLETON,DUQUESNE,49.0,10.0,39.0,59.0,32.164019500656195,20.180396497360064,11.983623003296138,52.34441599801626,0.7730642964149925,-27.016376996703862,-6.6555840019837404,0.05149981356162237
2024,2024-08-29T23:30:00.000Z,1,regular,DRAKE,AUSTINPEAY,0.0,0.0,0.0,0.0,30.23083720730549,20.943290583959943,9.287546623345552,51.174127791265434,0.7192017049714567,9.287546623345552,51.174127791265434,0.04804938746239357
2024,2024-08-30T00:00:00.000Z,1,regular,STTHOM,NICHOLLS,13.0,34.0,-21.0,47.0,26.90489600647461,24.850070038260817,2.0548259682137875,51.754966044735426,0.5510943182566098,23.054825968213787,4.754966044735426,0.30370494761471756
2024,2024-08-30T00:00:00.000Z,1,regular,S DAKOTA,TENN STATE,45.0,3.0,42.0,48.0,30.947617644440754,17.595248146744055,13.3523694976967,48.54286579118481,0.7980068602892513,-28.6476305023033,0.5428657911848092,0.04080122849020605
2024,2024-08-30T00:00:00.000Z,1,regular,MAINE,W CAROLINA,17.0,19.0,-2.0,36.0,24.775642313898764,24.514082652997025,0.26155966090173965,49.28972496689579,0.5065214100088585,2.2615596609017397,13.28972496689579,0.25656393879736217
2024,2024-08-30T00:00:00.000Z,1,regular,MONTANA ST,LNDNWD,48.0,3.0,45.0,51.0,40.313257602996245,19.086777413626947,21.2264801893693,59.40003501662319,0.9076885853924687,-23.7735198106307,8.400035016623193,0.00852139726684355
2024,2024-08-30T00:00:00.000Z,1,regular,JACKSON ST,W CAROLINA,27.0,55.0,-28.0,82.0,31.869892305837432,24.07621153803398,7.793680767803452,55.94610384387141,0.6869080553603032,35.79368076780345,-26.053896156128587,0.47184267651887335
2024,2024-08-30T00:00:00.000Z,1,regular,STHLSK,TENN STATE,62.0,28.0,34.0,90.0,25.866849289275034,13.981186924344886,11.885662364930148,39.84803621361992,0.7712149300378206,-22.11433763506985,-50.15196378638008,0.05234260823759932
2024,2024-08-30T00:00:00.000Z,1,regular,PORTLAND,SE LA,52.0,0.0,52.0,52.0,31.196111752367372,22.297184318129716,8.898927434237654,53.49329607049709,0.710957108183285,-43.101072565762344,1.4932960704970881,0.08354579330976925
2024,2024-08-30T00:00:00.000Z,1,regular,TENN STATE,TENN STATE,18.0,11.0,7.0,29.0,24.829875046348164,17.31606170727251,7.513813339075651,42.145936753620674,0.6806843516714504,0.513813339075651,13.145936753620674,0.10196248326748199
2024,2024-08-30T00:00:00.000Z,1,regular,N COLORADO,N DAK ST,31.0,26.0,5.0,57.0,25.17565568819524,29.112398829395712,-3.936743141200476,54.28805451759095,0.40282313921601787,-8.936743141200477,-2.7119454824090496,0.3566202030558116
2024,2024-08-30T00:00:00.000Z,1,regular,TENN STATE,ILL STATE,21.0,7.0,14.0,28.0,25.94338899062784,27.17062120123779,-1.2272322106099454,53.11401019186563,0.469430301494284,-15.227232210609944,25.11401019186563,0.2815042049724464
2024,2024-08-30T01:00:00.000Z,1,regular,UTAHTC,SOUTHERN U,49.0,0.0,49.0,49.0,33.189497225696925,22.141465931154507,11.048031294542412,55.33096315685143,0.7550607098180897,-37.95196870545759,6.330963156851432,0.059995255874818056
2024,2024-08-30T01:00:00.000Z,1,regular,W ILLINOIS,S ILLINOIS,45.0,0.0,45.0,45.0,37.40596834193312,22.738776440820246,14.667191901112869,60.144744782753364,0.8203499342873762,-30.33280809888713,15.144744782753364,0.03227414611055004
2024,2024-08-30T01:00:00.000Z,1,regular,E WASHGTON,MONMOUTH,42.0,27.0,15.0,69.0,32.20984725203667,32.10625710630998,0.10359014572668457,64.31610435834665,0.5025828875154326,-14.896409854273315,-4.683895641653351,0.2474237837924848
2024,2024-08-30T02:00:00.000Z,1,regular,SCAR STATE,SACRAMENTO,42.0,24.0,18.0,66.0,31.73191938604384,17.193833480705138,14.538085905338706,48.92575286674898,0.8182273647674403,-3.461914094661294,-17.07424713325102,0.033041290919389205
2024,2024-08-30T23:00:00.000Z,1,regular,SCAR STATE,PORTLAND,16.0,10.0,6.0,26.0,32.79541419039148,20.95573774284918,11.839676447542304,53.75115193324066,0.7703438676425307,5.839676447542304,27.751151933240664,0.05274193912939145
2024,2024-08-30T23:00:00.000Z,1,regular,LAMAR,BUTLER,51.0,3.0,48.0,54.0,30.150866032795836,20.44541569036046,9.705450342435375,50.596281723156295,0.7279386954011355,-38.29454965756462,-3.403718276843705,0.07401735346003611
2024,2024-08-30T23:00:00.000Z,1,regular,MAINE,COLGATE,17.0,14.0,3.0,31.0,32.72428628543363,22.58939847778128,10.13488780765235,55.31368476321491,0.7367737196235773,7.134887807652349,24.31368476321491,0.0692880746808071
2024,2024-08-30T23:30:00.000Z,1,regular,DRAKE,ELON,26.0,3.0,23.0,29.0,29.19455555885363,15.504595209915642,13.68996034893799,44.69915076876927,0.8038966958557063,-9.31003965106201,15.699150768769272,0.03845650589630935
2024,2024-08-31T01:00:00.000Z,1,regular,TOWSON,TENN MARTN,28.0,14.0,14.0,42.0,33.40913587963155,21.6533385718255,11.755797307806052,55.06247445145705,0.7687502600807764,-2.244202692193948,13.06247445145705,0.05347644221270856
2024,2024-08-31T04:00:00.000Z,1,regular,TENN STATE,ROB MORRIS,36.0,14.0,22.0,50.0,28.91443309904109,18.047761135482993,10.8666719635581,46.962194234524084,0.751483972257913,-11.1333280364419,-3.037805765475916,0.061760216044705774
2024,2024-08-31T16:00:00.000Z,1,regular,N IOWA,ILL STATE,40.0,0.0,40.0,40.0,27.68389067217427,25.68537262713123,1.9985180450430438,53.3692632993055,0.5497015612665296,-38.00148195495696,13.369263299305501,0.20276868392580102
2024,2024-08-31T16:00:00.000Z,1,regular,W GEORGIA,TENN STATE,12.0,34.0,-22.0,46.0,30.69533115524277,15.35947376362357,15.3358573916192,46.05480491886634,0.8310924081056412,37.3358573916192,0.054804918866338426,0.6907145908108338
2024,2024-08-31T16:00:00.000Z,1,regular,WAGNER,TENN TECH,34.0,27.0,7.0,61.0,22.38505417567552,24.980122345216543,-2.59506816954102,47.365176520892064,0.43557742399247723,-9.595068169541019,-13.634823479107936,0.3185728443069678
2024,2024-08-31T16:00:00.000Z,1,regular,PORTLAND,MONTANA,50.0,7.0,43.0,57.0,29.087962469070447,35.40167738518957,-6.313714916119125,64.48963985426002,0.34656640607752676,-49.313714916119125,7.4896398542600195,0.4269754616664397
2024,2024-08-31T16:00:00.000Z,1,regular,DAYTON,ST FRANCIS,18.0,10.0,8.0,28.0,29.445209541907058,19.859819851042122,9.585389690864936,49.30502939294918,0.7254425167672204,1.585389690864936,21.30502939294918,0.07538181159911807
2024,2024-08-31T16:00:00.000Z,1,regular,W GEORGIA,CHARLES SO,34.0,3.0,31.0,37.0,34.92494657072211,18.74649559235715,16.17845097836497,53.67144216307926,0.8440284411126717,-14.821549021635029,16.671442163079263,0.024327127181743312
2024,2024-08-31T16:30:00.000Z,1,regular,GEORGETOWN,DAVIDSON,46.0,24.0,22.0,70.0,33.715082839183346,23.28132259926587,10.433760239917476,56.996405438449216,0.7428348980985283,-11.566239760082524,-13.003594561550784,0.06613388963599431
2024,2024-08-31T16:45:00.000Z,1,regular,TENN STATE,CHATTNOOGA,69.0,3.0,66.0,72.0,20.7736597852629,29.21464262371135,-8.440982838448445,49.98830240897425,0.2989018854964607,-74.44098283844845,-22.01169759102575,0.4915385661604179
2024,2024-08-31T17:00:00.000Z,1,regular,ILL STATE,NWSTATE,3.0,34.0,-31.0,37.0,34.66029931359933,24.430665043962662,10.229634269636664,59.090964357561994,0.7387030624202792,41.22963426963666,22.090964357561994,0.5456822144290988
2024,2024-08-31T17:00:00.000Z,1,regular,LIUSHAR,CENT CT ST,17.0,13.0,4.0,30.0,22.428143578380098,21.147220019519434,1.280923558860665,43.57536359789953,0.5319043263067895,-2.719076441139335,13.575363597899532,0.21911355973030058
2024,2024-08-31T17:00:00.000Z,1,regular,ILL STATE,W CAROLINA,42.0,45.0,-3.0,87.0,33.102408624516485,25.438276851245824,7.664131773270659,58.54068547576231,0.6840336151769286,10.66413177327066,-28.45931452423769,0.4679019866920185
2024,2024-08-31T18:00:00.000Z,1,regular,ILL STATE,S DAK ST,44.0,20.0,24.0,64.0,35.104938345344976,19.304872532003117,15.800065813341867,54.40981087734809,0.8383022162877232,-8.199934186658133,-9.590189122651907,0.026146173257462258
2024,2024-08-31T18:30:00.000Z,1,regular,INDIANA ST,TOWSON,38.0,20.0,18.0,58.0,32.57408388722274,25.681365254029032,6.892718633193715,58.25544914125177,0.6666912512089126,-11.107281366806285,0.2554491412517734,0.11109472202068021
2024,2024-08-31T19:00:00.000Z,1,regular,YNGTOWN ST,PORTLAND,70.0,30.0,40.0,100.0,41.09742322249389,21.94141232539964,19.15601089709424,63.03883554789353,0.8843955694031637,-20.84398910290576,-36.96116445210647,0.01336438437361875
2024,2024-08-31T19:30:00.000Z,1,regular,TEXAS STHN,SCAR STATE,52.0,0.0,52.0,52.0,26.405010204111786,15.696395703321922,10.708614500789865,42.10140590743371,0.7483442395071782,-41.291385499210136,-9.898594092566292,0.06333062178922048
2024,2024-08-31T19:30:00.000Z,1,regular,FORDHAM,MAINE,17.0,41.0,-24.0,58.0,30.722473800260104,19.254199888067035,11.468273912193071,49.97667368832714,0.7632410984205317,35.46827391219307,-8.02332631167286,0.5825369743181797
2024,2024-08-31T19:30:00.000Z,1,regular,ILL STATE,N DAKOTA,21.0,3.0,18.0,24.0,31.008034831038422,26.43470941635929,4.573325414679136,57.44274424739771,0.6124969222486073,-13.426674585320864,33.44274424739771,0.1501586352668019
2024,2024-08-31T19:30:00.000Z,1,regular,SCAR STATE,TENN STATE,38.0,10.0,28.0,48.0,29.302654002919006,13.023426130917692,16.279227872001318,42.3260801338367,0.8455307108872079,-11.720772127998682,-5.673919866163303,0.023860761279011357
2024,2024-08-31T19:30:00.000Z,1,regular,ILL STATE,TARLETON,52.0,6.0,46.0,58.0,36.416439881607985,22.48258492402097,13.933854957587009,58.899024805628954,0.8080863206368127,-32.06614504241299,0.8990248056289545,0.03683086032671625
2024,2024-08-31T19:30:00.000Z,1,regular,WEBER ST,BUTLER,40.0,7.0,33.0,47.0,34.369611945395484,22.32191938875662,12.047692556638868,56.6915313341521,0.774269269559757,-20.952307443361132,9.691531334152103,0.05095436266508567
