home_team,away_team,start_date_pred,start_date_actual,pred_spread,pred_total,pred_home_points,pred_away_points,pred_home_win_prob,pred_home_ml,pred_away_ml,actual_home_points,actual_away_points,actual_margin,actual_total,spread_error,total_error,brier
DARTMOUTH,COLUMBIA,2025-10-24T22:00Z,2025-10-24T22:00Z,17.448441440918526,53.03339144510328,35.2409164430109,17.792475002092374,0.8622595966712595,-626.0033917668535,626.0033917668535,49.0,3.0,46.0,52.0,-28.55155855908147,1.0333914451032769,0.0189724187091641
SACRAMENTO,MONTANA,2025-10-25T02:35Z,2025-10-25T02:35Z,-10.225731926858298,59.60016581225001,24.687216942695855,34.91294886955416,0.2613762581495079,282.5902195860487,-282.5902195860487,35.0,49.0,-14.0,84.0,3.7742680731417018,-24.39983418774999,0.0683175483242381
YALE,PENN,2025-10-25T16:00Z,2025-10-25T16:00Z,13.639470092872887,52.382081408796424,33.010775750834654,19.37130565796177,0.8030224933018397,-407.6721787997633,407.6721787997633,35.0,13.0,22.0,48.0,-8.360529907127113,4.382081408796424,0.0388001381450237
LIUSHAR,NEWHVN,2025-10-25T16:00Z,2025-10-25T16:00Z,4.788999006680331,49.07990287253613,26.934450939608233,22.145451932927894,0.617649167362443,-161.53990383693846,161.53990383693846,38.0,16.0,22.0,54.0,-17.21100099331967,-4.920097127463869,0.1461921592186331
MERCYHURST,CORNELL,2025-10-25T16:00Z,2025-10-25T16:00Z,8.316702805838647,53.595349788311054,30.95602629707485,22.639323491236205,0.6983963931381781,-231.56102156899763,231.56102156899763,15.0,22.0,-7.0,37.0,15.316702805838649,16.595349788311054,0.4877575219484166
WAGNER,DUQUESNE,2025-10-25T16:00Z,2025-10-25T16:00Z,5.092684552427713,50.19689232541727,27.64478843892249,22.552103886494777,0.6248685714718496,-166.57323912410035,166.57323912410035,24.0,13.0,11.0,37.0,-5.907315447572287,13.196892325417268,0.1407235886695708
BUCKNELL,GEORGETOWN,2025-10-25T16:00Z,2025-10-25T16:00Z,15.16215611011965,60.341839423421234,37.75199776677045,22.58984165665079,0.828342287193772,-482.5546569694936,482.5546569694936,24.0,31.0,-7.0,55.0,22.16215611011965,5.341839423421234,0.6861509447534094
MARIST,DRAKE,2025-10-25T16:00Z,2025-10-25T16:00Z,-0.4876797979260336,43.36110433942495,21.436712270749457,21.92439206867549,0.4878421268650597,104.98434738019384,-104.98434738019388,17.0,31.0,-14.0,48.0,13.512320202073967,-4.638895660575052,0.2379899407442249
DAYTON,PRESBYTERN,2025-10-25T16:00Z,2025-10-25T16:00Z,5.205579287858117,52.32495234951594,28.765265818687027,23.559686530828913,0.6275414137469408,-168.48622555866413,168.48622555866413,35.0,19.0,16.0,54.0,-10.794420712141882,-1.6750476504840606,0.1387253984736275
PRINCETON,HARVARD,2025-10-25T16:00Z,2025-10-25T16:00Z,-1.1943505390658435,53.609988236273026,26.20781884860359,27.402169387669435,0.4702478252351477,112.65382769180258,-112.65382769180258,14.0,35.0,-21.0,49.0,19.805649460934156,4.609988236273026,0.221133017138386
DAVIDSON,SAN DIEGO,2025-10-25T16:00Z,2025-10-25T16:00Z,0.2306569828664786,62.49049491990024,31.360575951383357,31.12991896851688,0.5057509772228734,-102.3271577515963,102.3271577515963,28.0,40.0,-12.0,68.0,12.230656982866478,-5.509505080099757,0.2557840509618914
HOLY CROSS,COLGATE,2025-10-25T17:00Z,2025-10-25T17:00Z,20.24190501907532,55.72608574707506,37.98399538307519,17.74209036399987,0.8970856749768785,-871.6820275266176,871.6820275266176,28.0,29.0,-1.0,57.0,21.24190501907532,-1.2739142529249392,0.8047627082487218
VALPO,MOREHEAD,2025-10-25T17:00Z,2025-10-25T17:00Z,6.509000748552385,55.302999707924606,30.906000228238497,24.39699947968611,0.6579271645648924,-192.335402408679,192.335402408679,13.0,17.0,-4.0,30.0,10.509000748552385,25.30299970792461,0.432868153872399
