date,time,away_rot,away_team,away_score,home_rot,home_team,home_score,status,spread_sports411,spread_circa,spread_pinnacle,spread_betonline,total_sports411,total_circa,total_pinnacle,total_betonline
10/25,11:00a,308905.0,Presbyterian,19.0,308906.0,Dayton,35.0,Final,-9½-15,-12½+06,-9-30,-9½-10,5o½u-15,48½0-45,500-25,50½
10/25,11:00a,308907.0,Drake,31.0,308908.0,Marist,17.0,Final,-12½-15,-12½-20,-11½-10,-12-10,47½u-15,47½u-15,47Vzu-15,47½
10/25,11:00a,308909.0,New Haven,16.0,308910.0,Long Island,38.0,Final,470-16,48½u-46,47u-20,46½,-10Vz-15,-7-69,-10Vz-30,-10½-10
10/25,11:00a,308911.0,Stonehill,22.0,308912.0,Mercyhurst,15.0,Final,44½u-15,41½0-57,45u-25,45½,-8½-11,-6½-18,-72-25,-8-10
10/25,11:00a,308913.0,Georgetown,31.0,308914.0,Bucknell,24.0,Final,57½0-17,56½u-15,57½u-20,57½,-1½-12,-1½-15,-1-05,-1-10
10/25,11:00a,308915.0,Duquesne,13.0,308916.0,Wagner,24.0,Final,-22½-18,-27½+30,-23-01,22v2-10,46½0-21,50½u-75,48u-25,47
10/25,11:00a,308917.0,Pennsylvania,13.0,308918.0,Yale,35.0,Final,540-16,53½0-24,54v20-20,54,6½-17,-7-15,-7-15,-7-10
10/25,11:00a,308919.0,Harvard,35.0,308920.0,Princeton,14.0,Final,-18½-15,-18½-12,-18½-15,-18½-10,53½u-15,54½u-15,54½u-15,54v2
10/25,11:03a,308923.0,San Diego,40.0,308924.0,Davidson,28.0,Final,-26-01,,,,58u-18,,,
10/25,12:00p,308921.0,Brown,24.0,308922.0,Cornell,30.0,Final,0T2,-2-15,1Vz-19,-2½-20,53½0-22,500-44,51½0-20,52½
10/25,,308925.0,Colgate,29.0,,12*00p |308926 Holy Cross,28.0,Final,S0½u-15,50½20-21,510-20,51,-3-13,22½-18,-3½-10,3v2-10
10/25,12:00p,308927.0,St:Thomas-MN,52.0,308928.0,Stetson,10.0,Final,-23½-15,-2612+02,-23½-05,-23v2-10,54v20-16,550-20,550-20,55
10/25,12:00p,308929.0,Delaware State,35.0,,,26.0,Final,63v20-21,65v2u-35,63v20-20,63½,-17½-15,-15½-29,-17½-20,17Vz-10
10/25,12:00p,308931.0,Lehigh,27.0,,,6.0,Final,-23½-14,-2712+14,-24v2-05,-24-10,50v20-33,52u-39,51u-25,51
10/25,12:00p,308933.0,Elon,14.0,,,35.0,Final,-3½-15,-4½-15,-3½-15,-4-10,48u-15,50v2u-22,49u-20,48
10/25,12:00p,308935.0,William & Mary,24.0,,,34.0,Final,46v2u-16,49v2u-53,47u-20,47,-1-15,-1½-15,-1½-15,1Vz-10
10/25,12:00p,308937.0,Bryant,17.0,308938.0,Rhode Island,38.0,Final,S0½u-15,S1½u-15,51½4-15,51½,-17-18,-18½+01,-17½-15,17Vz-10
10/25,12:00p,308939.0,Morehead State,17.0,,,13.0,Final,-7-08,6-20,-5v2-15,-S½-10,46v20-16,S0½u-55,46v2u-20,47
10/25,12:00p,308941.0,Campbell,24.0,,,28.0,Final,-2½-23,-3-15,-3-15,-3-10,52½u-15,55v2u-43,54v2u-23,54
10/25,12:00p,308943.0,SE Missouri State,23.0,,,42.0,Final,62u-15,58v20-39,59v20-20,61,-212-17,-21½-15,~21½-15,21½-10
10/25,1:00p,308945.0,South Carolina State,51.0,308946.0,Norfolk State,20.0,Final,-14½-15,-14-15,-14-15,-14-10,54u-15,520-36,53½0-25,54v2
10/25,,308947.0,The Citadel,14.0,308948.0,T:0Op  Furman,24.0,Final,45½u-15,49u-36,46v2u-25,46½,-3-15,-3-10,-3-10,-3-10
10/25,1:00p,308949.0,Illinois State,21.0,308950.0,South Dakota,13.0,Final,550-22,54½u-15,54v2u-15,54v2,-3-19,-4Vz+06,-3½-01,-3-10
10/25,,308951.0,Monmouth,28.0,308952.0,T:0Op  Hampton,10.0,Final,-23½-09,-28+36,-24½-10,-24v2-10,66½u-22,692u-28,68½u-20,68
10/25,1:00p,308953.0,Central Arkansas,17.0,308954.0,West Georgia,18.0,Final,54v2u-24,s6v2u-50,53½u-20,53,-4½-22,-5v2-15,-4½-10,-5-10
10/25,,308955.0,Eastern Illinois,16.0,308956.0,T:0Op  Charleston Southern,17.0,Final,45v20-17,46v20-19,44v20-20,45½,-3½-15,-3-21,-4-15,3v2-10
10/25,1:00p,308957.0,Murray State,17.0,308958.0,Youngstown State,51.0,Final,63v2u-15,63½u-15,64½0-20,64,-23½-22,-23v2-15,-24½-15,-24-10
10/25,1:30p,308959.0,Western Illinois,17.0,308960.0,Tennessee State,16.0,Final,53½0-20,56u-47,54u-25,54,-3-15,-3-15,-3-15,-3-10
10/25,2:00p,308963.0,UC Davis,27.0,308964.0,Northern Colorado,16.0,Final,-612-23,-10V+11,-8-05,-7-10,s5v2u-15,57u-32,57u-25,57
10/25,2:00p,308965.0,Eastern Washington,23.0,308966.0,Weber State,20.0,Final,56v20-22,-3+06,-2½+08,58,-1-15,s8v2u-35,58u-20,-1-10
