season,season_type,week,game_id,start_date,home_team,away_team,actual_home_points,actual_away_points,actual_margin,actual_total,model_spread,model_total,home_win_prob,market_spread,market_total,home_moneyline,away_moneyline,spread_edge,total_edge,spread_error,total_error,brier,model_pick,bet_tracked,bet_result
2016,regular,1,400869090,2016-08-27T02:00:00,California,Hawai'i,51,31,20,82,,,,,,,,,,,,,,False,
2016,regular,1,400869341,2016-09-01T23:00:00,Louisville,Charlotte,70,14,56,84,,,,,,,,,,,,,,False,
2016,regular,1,400869421,2016-09-01T23:00:00,Wake Forest,Tulane,7,3,4,10,,,,,,,,,,,,,,False,
2016,regular,1,400869342,2016-09-01T23:30:00,Florida International,Indiana,13,34,-21,47,,,,,,,,,,,,,,False,
2016,regular,1,400868977,2016-09-01T23:30:00,Tennessee,App State,20,13,7,33,,,,,,,,,,,,,,False,
2016,regular,1,400869347,2016-09-02T00:00:00,Western Kentucky,Rice,46,14,32,60,,,,,,,,,,,,,,False,
2016,regular,1,400868968,2016-09-02T00:00:00,Vanderbilt,South Carolina,10,13,-3,23,,,,,,,,,,,,,,False,
2016,regular,1,400869092,2016-09-02T01:00:00,Minnesota,Oregon State,30,23,7,53,,,,,,,,,,,,,,False,
2016,regular,1,400869258,2016-09-02T23:00:00,Georgia State,Ball State,21,31,-10,52,,,,,,,,,,,,,,False,
2016,regular,1,400868910,2016-09-02T23:00:00,Temple,Army,13,28,-15,41,,,,,,,,,,,,,,False,
2016,regular,1,400869093,2016-09-03T00:00:00,Colorado,Colorado State,44,7,37,51,,,,,,,,,,,,,,False,
2016,regular,1,400869094,2016-09-03T01:00:00,Stanford,Kansas State,26,13,13,39,,,,,,,,,,,,,,False,
2016,regular,1,400869265,2016-09-03T01:00:00,Arkansas State,Toledo,10,31,-21,41,,,,,,,,,,,,,,False,
2016,regular,1,400869424,2016-09-03T11:30:00,Boston College,Georgia Tech,14,17,-3,31,,,,,,,,,,,,,,False,
2016,regular,1,400868976,2016-09-03T16:00:00,West Virginia,Missouri,26,11,15,37,,,,,,,,,,,,,,False,
2016,regular,1,400868975,2016-09-03T16:00:00,Mississippi State,South Alabama,20,21,-1,41,,,,,,,,,,,,,,False,
2016,regular,1,400869267,2016-09-03T16:00:00,Northwestern,Western Michigan,21,22,-1,43,,,,,,,,,,,,,,False,
2016,regular,1,400869176,2016-09-03T16:00:00,Louisiana,Boise State,10,45,-35,55,,,,,,,,,,,,,,False,
2016,regular,1,400869507,2016-09-03T16:00:00,Houston,Oklahoma,33,23,10,56,,,,,,,,,,,,,,False,
2016,regular,1,400869260,2016-09-03T16:00:00,Ohio State,Bowling Green,77,10,67,87,,,,,,,,,,,,,,False,
2016,regular,1,400869180,2016-09-03T16:00:00,Michigan,Hawai'i,63,3,60,66,,,,,,,,,,,,,,False,
2016,regular,1,400869097,2016-09-03T18:00:00,Washington,Rutgers,48,13,35,61,,,,,,,,,,,,,,False,
2016,regular,1,400869264,2016-09-03T19:30:00,Ohio,Texas State,54,56,-2,110,,,,,,,,,,,,,,False,
2016,regular,1,400869261,2016-09-03T19:30:00,Penn State,Kent State,33,13,20,46,,,,,,,,,,,,,,False,
2016,regular,1,400869262,2016-09-03T19:30:00,Iowa,Miami (OH),45,21,24,66,,,,,,,,,,,,,,False,
2016,regular,1,400868978,2016-09-03T19:30:00,Texas A&M,UCLA,31,24,7,55,,,,,,,,,,,,,,False,
2016,regular,1,400868974,2016-09-03T19:30:00,Wisconsin,LSU,16,14,2,30,,,,,,,,,,,,,,False,
2016,regular,1,400868970,2016-09-03T20:00:00,Arkansas,Louisiana Tech,21,20,1,41,,,,,,,,,,,,,,False,
2016,regular,1,400868972,2016-09-03T21:30:00,North Carolina,Georgia,24,33,-9,57,,,,,,,,,,,,,,False,
2016,regular,1,400869183,2016-09-03T23:00:00,Tulsa,San José State,45,10,35,55,,,,,,,,,,,,,,False,
