date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b9r1,125,0,0,1,0,0,1669478202,9,Circa,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,total,57,,0,57.0,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b9r2,125,0,0,2,0,0,1669486408,9,Circa,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,spread,-1-10,,0,-1.0,-110,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b13r1,125,0,0,1,0,0,1669478143,13,South Point,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,total,57,,0,57.0,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b13r2,125,0,0,2,0,0,1669492674,13,South Point,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,spread,-1½-10,,0,-1.5,-110,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b32r1,125,0,0,1,0,0,1669507301,32,Sports411,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,total,78½o-70,,0,78.5,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b41r1,125,0,0,1,0,0,1669494828,41,Heritage,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,total,57u-08,,0,57.0,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960479,t125p0l0b41r2,125,0,0,2,0,0,1669494684,41,Heritage,2022-11-26,20:41,2022-11-26 20:41:00,Oregon,ORE,Oregon State,ORST,OREGON,OREGONSTATE,spread,-1-08,,0,-1.0,-108,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960503,t139p0l0b9r1,139,0,0,1,0,0,1669505766,9,Circa,2022-11-26,01:05,2022-11-27 01:05:00,Kansas,KU,Kansas State,KSU,KANSAS,KANSASSTATE,total,62,,0,62.0,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960503,t139p0l0b9r2,139,0,0,2,0,0,1669511091,9,Circa,2022-11-26,01:05,2022-11-27 01:05:00,Kansas,KU,Kansas State,KSU,KANSAS,KANSASSTATE,spread,-12½-10,,0,-12.5,-110,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960503,t139p0l0b13r1,139,0,0,1,0,0,1669226230,13,South Point,2022-11-26,01:05,2022-11-27 01:05:00,Kansas,KU,Kansas State,KSU,KANSAS,KANSASSTATE,total,62½,,0,62.5,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960503,t139p0l0b13r2,139,0,0,2,0,0,1669511148,13,South Point,2022-11-26,01:05,2022-11-27 01:05:00,Kansas,KU,Kansas State,KSU,KANSAS,KANSASSTATE,spread,-13-10,,0,-13.0,-110,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960503,t139p0l0b32r1,139,0,0,1,0,0,1669522536,32,Sports411,2022-11-26,01:05,2022-11-27 01:05:00,Kansas,KU,Kansas State,KSU,KANSAS,KANSASSTATE,total,76½o-36,,0,76.5,,
2022-11-26,fbs,"COLLEGE FOOTBALL - Saturday, November 26th"",,2022-11-26",3960503,t139p0l0b32r2,139,0,0,2,0,0,1669522536,32,Sports411,2022-11-26,01:05,2022-11-27 01:05:00,Kansas,KU,Kansas State,KSU,KANSAS,KANSASSTATE,spread,-19½-214,,0,-19.5,-214,
