game_id,week,start_date,home_team,away_team,neutral,spread_home_minus_away,total_points,home_points,away_points,home_win_prob,home_moneyline,away_moneyline,weather_condition,weather_temp,weather_wind,weather_total_adj
401640984,9,2024-10-22T23:30:00.000Z,Florida International,Sam Houston,True,-0.6913087568626313,41.202209398639994,20.25545032088868,20.946759077751313,0.48135191305864883,107.74821349430435,-107.74821349430437,,,,
401641011,9,2024-10-23T00:00:00.000Z,Louisiana Tech,UTEP,False,8.114310239393713,33.85131040492455,20.982810322159132,12.868500082765415,0.7084494233948675,-242.99366224693512,242.99366224693512,Clear,69.3,5.3,
401640993,9,2024-10-23T23:00:00.000Z,Kennesaw State,Liberty,False,-22.44973126880587,45.115384786053994,11.332826758624062,33.78255802742993,0.06444122344672754,1451.8016985302631,-1451.8016985302631,Clear,73.6,3.7,
401641003,9,2024-10-23T23:30:00.000Z,Jacksonville State,Middle Tennessee,False,28.639340789677792,60.540079903538356,44.58971034660807,15.950369556930283,0.9736392677913089,-3693.521333486718,3693.521333486718,Clear,64.8,0.0,
401643815,9,2024-10-24T23:00:00.000Z,Old Dominion,Georgia Southern,False,7.043387333075539,59.662633648759055,33.3530104909173,26.309623157841756,0.6831131850343448,-215.57008773254952,215.57008773254952,Clear,64.0,8.1,
401634770,9,2024-10-24T23:30:00.000Z,Pittsburgh,Syracuse,False,6.144469054492797,56.35649477875445,31.250481916623624,25.10601286213083,0.6611553709567908,-195.12051078504203,195.12051078504203,Clear,55.4,3.7,
401634771,9,2024-10-25T23:30:00.000Z,Boston College,Louisville,False,-7.43758841595437,56.2499804450141,24.406196014529865,31.843784430484238,0.3074517752596434,225.25426114567034,-225.25426114567034,Overcast,50.7,7.0,
401643740,9,2024-10-26T02:30:00.000Z,UNLV,Boise State,False,-0.291755968369535,61.16167842697354,30.434961229302,30.726717197671537,0.4921275115211993,103.19936938882618,-103.19936938882617,,,,
401628532,9,2024-10-26T03:00:00.000Z,USC,Rutgers,False,15.803000177302753,60.48569405936844,38.144347118335595,22.341346941032846,0.8574497746920486,-601.5071339520505,601.5071339520505,Fair,61.0,6.3,
401628530,9,2024-10-26T16:00:00.000Z,Ohio State,Nebraska,False,29.301416153666622,48.96181968681254,39.13161792023958,9.830201766572962,0.9762591967966797,-4112.157404430801,4112.157404430801,cloudy,60.8,14.9,-0.8700000000000001
